A,
AAPL,
ABBV,
ABT,
ACN,
ADBE,
ADI,
ADP,
ADSK,
AEP,
AIG,
ALGN,
ALL,
AMAT,
AMD,
AMGN,
AMT,
AMZN,
AON,
APD,
APH,
APTV,
ATVI,
AVGO,
AXP,
BA,
BABA,
BAC,
BAX,
BDX,
BIDU,
BIIB,
BK,
BKNG,
BLK,
BMY,
BRK-A,
BRK-B,
BSX,
C,
CAT,
CB,
CCI,
CDNS,
CHTR,
CI,
CL,
CMCSA,
CME,
CMG,
CNC,
COF,
COP,
COST,
CRM,
CSCO,
CTAS,
CVS,
CVX,
D,
DD,
DE,
DG,
DHR,
DIS,
DLR,
DOW,
DUK,
EA,
EBAY,
ECL,
EL,
EMR,
EOG,
EQIX,
ETN,
EW,
EXC,
F,
FB,
FCX,
FDX,
FIS,
FISV,
FTNT,
GE,
GILD,
GLD,
GM,
GOOG,
GOOGL,
GPN,
GS,
HCA,
HD,
HON,
HPQ,
HUM,
IBM,
ICE,
IDXX,
ILMN,
INTC,
INTU,
IQV,
ISRG,
ITW,
JCI,
JNJ,
JPM,
KHC,
KLAC,
KMB,
KMI,
KO,
LHX,
LIN,
LLY,
LMT,
LOW,
LRCX,
LULU,
MA,
MAR,
MCD,
MCO,
MDLZ,
MDT,
MET,
MMC,
MMM,
MNST,
MO,
MRK,
MS,
MSCI,
MSFT,
MU,
NEE,
NEM,
NFLX,
NKE,
NOC,
NSC,
NVDA,
ORCL,
ORLY,
PAYX,
PEP,
PFE,
PG,
PGR,
PH,
PLD,
PM,
PNC,
PRU,
PSA,
PYPL,
QCOM,
QQQ,
REGN,
ROP,
ROST,
SBUX,
SCHW,
SHW,
SLB,
SNPS,
SO,
SPG,
SPGI,
SPY,
SRE,
SYK,
T,
TEL,
TGT,
TJX,
TMO,
TMUS,
TROW,
TSLA,
TWTR,
TXN,
UNH,
UNP,
UPS,
USB,
V,
VRTX,
VZ,
WBA,
WFC,
WM,
WMT,
XOM,
ZTS,
